"iso3","lng","lat","pending","zoom"
"ESP",-3.55161421085962,40.3931345269957,FALSE,5.97556621208462
"EST",25.8438396685617,58.6844507567147,FALSE,5.97556621208462
"ETH",39.6358455153665,8.63017268929116,FALSE,5.97556621208462
"FIN",26.2891346022352,64.5213129747432,FALSE,5.97556621208462
"FJI",177.96608842225,-17.8330156699199,FALSE,5.97556621208462
"FLK",-58.7524677811249,-51.7456260106649,FALSE,5.97556621208462
"FRA",2.45567734286467,46.628495988606,FALSE,5.97556621208462
"FRO",-7.0068308519991,62.1390361758318,FALSE,5.97556621208462
"FSM",158.225215997147,6.88067009221131,FALSE,5.97556621208462
"GAB",11.783800964061,-0.62269706870019,FALSE,6.4378775734
"GBR",-2.52606140248405,53.9449427296807,FALSE,5.97556621208462
"GBR",-2.58701228391501,49.4616161348515,FALSE,5.97556621208462
